Original name;Short name 
Developer, back-end;Back-end dev
Developer, full-stack;Full-stack dev
Developer, front-end;Front-end dev
Developer, desktop or enterprise applications;Desktop dev
Developer, mobile;Mobile dev
DevOps specialist;DevOps
Database administrator;Database admin
Designer;Designer
System administrator;System admin
Developer, embedded applications or devices;Embedded dev
Data or business analyst;Analyst
Data scientist or machine learning specialist;Data Scientist 
Developer, QA or test;Quality Assurance
Engineer, data;Data Engineer
Academic researcher;Researcher
Educator;Educator
Developer, game or graphics;Game dev
Engineering manager;Engineering manager
Product manager;Product manager
Scientist;Scientist
Engineer, site reliability;Site Engineer
Senior executive/VP;Senior Executive
Marketing or sales professional;Marketing/Sales
